Product id,Product name,Quantity,Unit Cost price,Unit Sale price,Stock value,Location,Expiry Date,Vendor id
PROD001,Smartphone Cases,2350,12,25,28200,1234,15-12-2025,VEND001
PROD002,Wireless Headphones,1650,45,89,74250,2143,20-01-2026,VEND002
PROD003,Laptop Chargers,2980,25,52,74500,3412,10-11-2025,VEND003
PROD004,USB Cables,4720,8,18,37760,1324,30-03-2026,VEND001
PROD005,Power Banks,1950,32,68,62400,2431,25-02-2026,VEND002
PROD006,Screen Protectors,4180,5,12,20900,3241,18-04-2026,VEND003
PROD007,Bluetooth Speakers,1300,55,115,71500,4132,12-01-2026,VEND004
PROD008,Camera Lenses,720,120,250,86400,1423,08-05-2026,VEND005
PROD009,Memory Cards,3280,18,38,59040,2314,22-12-2025,VEND001
PROD010,Phone Holders,2640,15,32,39600,3142,16-06-2026,VEND004
PROD011,Tablet Stands,1080,28,58,30240,4231,28-03-2026,VEND006
PROD012,Keyboard Covers,1950,22,45,42900,1342,14-07-2026,VEND002
PROD013,Mouse Pads,3580,9,20,32220,2413,05-08-2026,VEND007
PROD014,Cable Organizers,3920,6,14,23520,3124,19-09-2025,VEND003
PROD015,Portable Drives,1780,65,135,115700,4312,11-10-2025,VEND008
PROD016,Webcams,980,75,155,73500,1234,03-11-2025,VEND005
PROD017,Gaming Controllers,820,85,175,69700,2143,27-04-2026,VEND009
PROD018,VR Headsets,550,200,420,110000,3412,15-05-2026,VEND010
PROD019,Smart Watches,1150,95,195,109250,1324,09-12-2025,VEND006
PROD020,Fitness Trackers,1520,40,82,60800,2431,21-01-2026,VEND007
PROD021,Audio Interfaces,450,150,310,67500,3241,13-02-2026,VEND008
PROD022,Microphones,926,80,165,74080,4132,07-06-2026,VEND009
PROD023,LED Strips,2720,12,26,32640,1423,24-03-2026,VEND001
PROD024,Cooling Fans,1480,35,72,51800,2314,18-08-2025,VEND010
PROD025,Graphics Cards,360,350,725,126000,3142,02-07-2026,VEND005
