Product id,Product name,Quantity,Unit Cost price,Unit Sale price,Stock value,Location,Expiry Date,Purchase Date,Purchase id,Vendor id
PROD001,Smartphone Cases,500,12,25,6000,1234,15-12-2025,15-07-2025,P001001150720251001,VEND001
PROD002,Wireless Headphones,300,45,89,13500,2143,20-01-2026,20-07-2025,P002001160720252001,VEND002
PROD003,Laptop Chargers,400,25,52,10000,3412,10-11-2025,18-07-2025,P003001180720253001,VEND003
PROD004,USB Cables,800,8,18,6400,1324,30-03-2026,19-07-2025,P001002200720251002,VEND001
PROD005,Power Banks,350,32,68,11200,2431,25-02-2026,22-07-2025,P002002220720252002,VEND002
PROD006,Screen Protectors,750,5,12,3750,3241,18-04-2026,25-07-2025,P003002250720253002,VEND003
PROD007,Bluetooth Speakers,200,55,115,11000,4132,12-01-2026,27-07-2025,P004001190720254001,VEND004
PROD008,Camera Lenses,100,120,250,12000,1423,08-05-2026,21-07-2025,P005001210720255001,VEND005
PROD009,Memory Cards,600,18,38,10800,2314,22-12-2025,23-07-2025,P006001230720256001,VEND001
PROD010,Phone Holders,450,15,32,6750,3142,16-06-2026,24-07-2025,P004002270720254002,VEND004
PROD011,Tablet Stands,180,28,58,5040,4231,28-03-2026,26-07-2025,P007001240720257001,VEND006
PROD012,Keyboard Covers,300,22,45,6600,1342,14-07-2026,28-07-2025,P008001260720258001,VEND002
PROD013,Mouse Pads,650,9,20,5850,2413,05-08-2026,29-07-2025,P009001280720259001,VEND007
PROD014,Cable Organizers,700,6,14,4200,3124,19-09-2025,30-07-2025,P003003010820253003,VEND003
PROD015,Portable Drives,250,65,135,16250,4312,11-10-2025,01-08-2025,P005002300720255002,VEND008
PROD016,Webcams,150,75,155,11250,1234,03-11-2025,02-08-2025,P010001290720250101,VEND005
PROD017,Gaming Controllers,120,85,175,10200,2143,27-04-2026,05-08-2025,P002003050820252003,VEND009
PROD018,VR Headsets,80,200,420,16000,3412,15-05-2026,06-08-2025,P008002100820258002,VEND010
PROD019,Smart Watches,200,95,195,19000,1324,09-12-2025,08-08-2025,P006002020820256002,VEND006
PROD020,Fitness Trackers,250,40,82,10000,2431,21-01-2026,10-08-2025,P007002060820257002,VEND007
PROD021,Audio Interfaces,75,150,310,11250,3241,13-02-2026,12-08-2025,P003004080820253003,VEND008
PROD022,Microphones,120,80,165,9600,4132,07-06-2026,13-08-2025,P009002130820259002,VEND009
PROD023,LED Strips,500,12,26,6000,1423,24-03-2026,14-08-2025,P001003010820251003,VEND001
PROD024,Cooling Fans,250,35,72,8750,2314,18-08-2025,15-08-2025,P004003120820254003,VEND010
PROD025,Graphics Cards,60,350,725,21000,3142,02-07-2026,16-08-2025,P005003140820255003,VEND005
PROD001,Smartphone Cases,400,12,25,4800,1234,15-12-2025,18-08-2025,P001004150820251004,VEND001
PROD003,Laptop Chargers,350,25,52,8750,3412,10-11-2025,20-08-2025,P003004180820253004,VEND003
PROD006,Screen Protectors,600,5,12,3000,3241,18-04-2026,22-08-2025,P006003160820256003,VEND003
PROD009,Memory Cards,550,18,38,9900,2314,22-12-2025,24-08-2025,P007003220820257003,VEND001
PROD012,Keyboard Covers,250,22,45,5500,1342,14-07-2026,26-08-2025,P008003240820258003,VEND002
PROD015,Portable Drives,200,65,135,13000,4312,11-10-2025,28-08-2025,P005004280820255004,VEND008
PROD018,VR Headsets,70,200,420,14000,3412,15-05-2026,30-08-2025,P002004200820252004,VEND010
PROD002,Wireless Headphones,400,45,89,18000,2143,20-01-2026,01-09-2025,P001005010920251005,VEND002
PROD005,Power Banks,300,32,68,9600,2431,25-02-2026,03-09-2025,P005005090920253005,VEND002
PROD007,Bluetooth Speakers,180,55,115,9900,4132,12-01-2026,04-09-2025,P004004070920254004,VEND004
PROD010,Phone Holders,350,15,32,5250,3142,16-06-2026,06-09-2025,P006004030920256004,VEND004
PROD013,Mouse Pads,480,9,20,4320,2413,05-08-2026,07-09-2025,P009004040920259004,VEND007
PROD016,Webcams,130,75,155,9750,1234,03-11-2025,09-09-2025,P010003060920250103,VEND005
PROD019,Smart Watches,150,95,195,14250,1324,09-12-2025,10-09-2025,P005006110920255006,VEND006
PROD022,Microphones,100,80,165,8000,4132,07-06-2026,11-09-2025,P007004100920257004,VEND009PROD022,Microphones,123,80,165,9840,4132,07-06-2026,11-09-2025,PROD022123110920251103,VEND009
PROD022,Microphones,123,80,165,9840,4132,07-06-2026,11-09-2025,PROD022123110920251103,VEND009
